rewire_id,text,tokenized_text,true_label,predicted_label,prediction_probability,token_count,avg_token_length
sexism2022_english-6629,well then good because someone has to knock her ass back in line when she acts like a woman and posts bullshit about her based minorities if someone is not white they are not one of us,"[""['acts'"", ""'ass'"", ""'based'"", ""'bullshit'"", ""'good'"", ""'knock'"", ""'like'"", ""'line'"", ""'minorities'"", ""'posts'"", ""'white'"", ""'woman']""]",1,0,0.390154863708766,12,7.333333333333333
sexism2022_english-9087,i would pay to see her ass cracker nsfw,"[""['ass'"", ""'nsfw'"", ""'pay']""]",1,0,0.4280404476375705,3,6.0
sexism2022_english-18714,i have some unwashed underwear she can sniff i am not sure if it is sarin but i am positive it is toxic and probably wmd,"[""['positive'"", ""'probably'"", ""'sniff'"", ""'sure'"", ""'toxic'"", ""'underwear']""]",0,1,0.5700463570364623,6,8.833333333333334
sexism2022_english-19542,i saw an it thread where they were saying we are all white men that only like asian women they are just making up stuff,"[""['asian'"", ""'just'"", ""'like'"", ""'making'"", ""'men'"", ""'saw'"", ""'saying'"", ""'stuff'"", ""'thread'"", ""'white'"", ""'women']""]",0,1,0.5094743362567532,11,6.909090909090909
sexism2022_english-16679,yes he can only top men fuck non ugly women nowadays,"[""['fuck'"", ""'men'"", ""'non'"", ""'nowadays'"", ""'ugly'"", ""'women'"", ""'yes']""]",0,1,0.7441439158040067,7,6.571428571428571
sexism2022_english-8119,you mean those videos where a woman slaps a guy when shes fucked up we see those everyday already,"[""['everyday'"", ""'fucked'"", ""'guy'"", ""'mean'"", ""'shes'"", ""'videos'"", ""'woman']""]",0,1,0.5032439356389856,7,7.428571428571429
sexism2022_english-13224,with interior decorating skills like yours girls will be falling all over you im falling for you a little myself,"[""['falling'"", ""'girls'"", ""'im'"", ""'like'"", ""'little'"", ""'skills']""]",1,0,0.2416202417535624,6,7.333333333333333
sexism2022_english-15248,true most do lol i get hit on by more fat girls than anything else but they usually settle for an out of shape guy fit guys dont usually hang around very long butttt if you hate working out and eating healthy than you gotta work with that,"[""['dont'"", ""'eating'"", ""'fat'"", ""'fit'"", ""'girls'"", ""'gotta'"", ""'guy'"", ""'guys'"", ""'hang'"", ""'hate'"", ""'healthy'"", ""'hit'"", ""'lol'"", ""'long'"", ""'settle'"", ""'shape'"", ""'true'"", ""'usually'"", ""'work'"", ""'working']""]",0,1,0.6806204578164569,20,6.65
sexism2022_english-8690,isnt it convenient that she doesnt have the video of this guy threatening to kill her she films every moment of her life but the one time someone threatens to kill her its turned off give me a break,"[""['break'"", ""'doesnt'"", ""'guy'"", ""'isnt'"", ""'kill'"", ""'life'"", ""'moment'"", ""'threatening'"", ""'time'"", ""'turned'"", ""'video']""]",1,0,0.2256867440782586,11,7.454545454545454
sexism2022_english-14596,its not the same goys groping women is my comedy shtick,"[""['comedy'"", ""'groping'"", ""'women']""]",1,0,0.4157906862305205,3,8.666666666666666
